timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-09-22T16:21:02.612448+00:00,XAUUSDm,SELL,4501.37500,0.1,"EMA50 bearish crossover, ADX 27.4 trending, MACD falling, RSI 40.0",raw,win,510.60
2026-09-22T16:21:02.613334+00:00,XAUUSDm,SELL,4458.56000,0.1,"EMA50 bearish crossover, ADX 26.0 trending, MACD falling, RSI 30.7",raw,loss,-283.48
2026-09-22T16:21:02.614700+00:00,XAUUSDm,SELL,4473.88700,0.1,"EMA50 bearish crossover, ADX 20.6 trending, MACD falling, RSI 39.3",raw,loss,-257.38
2026-09-22T16:21:02.616079+00:00,XAUUSDm,SELL,4487.31700,0.1,"EMA50 bearish crossover, ADX 20.5 trending, MACD falling, RSI 40.7",raw,win,458.88
2026-09-22T16:21:02.616927+00:00,XAUUSDm,SELL,4443.73600,0.1,"EMA50 bearish crossover, ADX 34.1 trending, MACD falling, RSI 30.5",raw,loss,-239.80
2026-09-22T16:21:02.618083+00:00,XAUUSDm,SELL,4445.74200,0.1,"EMA50 bearish crossover, ADX 39.4 trending, MACD falling, RSI 36.0",raw,loss,-274.21
2026-09-22T16:21:02.619366+00:00,XAUUSDm,SELL,4463.90700,0.1,"EMA50 bearish crossover, ADX 34.3 trending, MACD falling, RSI 51.4",raw,loss,-281.76
2026-09-22T16:21:02.620905+00:00,XAUUSDm,SELL,4466.09200,0.1,"EMA50 bearish crossover, ADX 23.9 trending, MACD falling, RSI 48.0",raw,win,624.31
2026-09-22T16:21:02.621711+00:00,XAUUSDm,SELL,4338.96300,0.1,"EMA50 bearish crossover, ADX 37.3 trending, MACD falling, RSI 49.3",raw,win,642.44
2026-09-22T16:21:02.622603+00:00,XAUUSDm,SELL,4258.48500,0.1,"EMA50 bearish crossover, ADX 22.5 trending, MACD falling, RSI 30.1",raw,win,661.61
2026-09-22T16:21:02.623521+00:00,XAUUSDm,SELL,4128.65000,0.1,"EMA50 bearish crossover, ADX 43.3 trending, MACD falling, RSI 30.6",raw,win,894.41
2026-09-22T16:21:02.624423+00:00,XAUUSDm,SELL,4084.32400,0.1,"EMA50 bearish crossover, ADX 37.9 trending, MACD falling, RSI 40.1",raw,loss,-443.01
2026-09-22T16:21:02.625896+00:00,XAUUSDm,SELL,4258.53900,0.1,"EMA50 bearish crossover, ADX 22.1 trending, MACD falling, RSI 34.9",raw,loss,-406.13
2026-09-22T16:21:02.627573+00:00,XAUUSDm,SELL,4268.61100,0.1,"EMA50 bearish crossover, ADX 20.6 trending, MACD falling, RSI 38.9",raw,win,690.37
2026-09-22T16:21:02.628428+00:00,XAUUSDm,SELL,4151.22900,0.1,"EMA50 bearish crossover, ADX 39.1 trending, MACD falling, RSI 37.8",raw,loss,-312.17
2026-09-22T16:21:02.629664+00:00,XAUUSDm,SELL,4171.59200,0.1,"EMA50 bearish crossover, ADX 27.2 trending, MACD falling, RSI 47.1",raw,loss,-331.70
2026-09-22T16:21:02.631020+00:00,XAUUSDm,SELL,4190.40200,0.1,"EMA50 bearish crossover, ADX 24.1 trending, MACD falling, RSI 52.0",raw,win,608.73
2026-09-22T16:21:02.631767+00:00,XAUUSDm,SELL,4117.59900,0.1,"EMA50 bearish crossover, ADX 28.1 trending, MACD falling, RSI 39.5",raw,win,566.47
2026-09-22T16:21:02.632506+00:00,XAUUSDm,SELL,4064.68400,0.1,"EMA50 bearish crossover, ADX 34.5 trending, MACD falling, RSI 32.8",raw,win,593.72
2026-09-22T16:21:02.633316+00:00,XAUUSDm,SELL,4008.12900,0.1,"EMA50 bearish crossover, ADX 41.2 trending, MACD falling, RSI 32.9",raw,loss,-408.19
2026-09-22T16:21:02.635177+00:00,XAUUSDm,SELL,4013.40400,0.1,"EMA50 bearish crossover, ADX 22.9 trending, MACD falling, RSI 35.1",raw,win,545.17
2026-09-22T16:21:02.636090+00:00,XAUUSDm,SELL,4009.76000,0.1,"EMA50 bearish crossover, ADX 22.9 trending, MACD falling, RSI 47.3",raw,loss,-299.24
2026-09-22T16:21:02.637808+00:00,XAUUSDm,SELL,3980.37300,0.1,"EMA50 bearish crossover, ADX 20.3 trending, MACD falling, RSI 37.0",raw,loss,-258.73
2026-09-22T16:21:02.639333+00:00,XAUUSDm,BUY,4177.91700,0.1,"EMA50 bullish crossover, ADX 38.4 trending, MACD rising, RSI 62.1",raw,loss,-233.23
2026-09-22T16:21:02.641659+00:00,XAUUSDm,BUY,4164.23300,0.1,"EMA50 bullish crossover, ADX 29.9 trending, MACD rising, RSI 52.6",raw,loss,-253.88
2026-09-22T16:21:02.643463+00:00,XAUUSDm,BUY,4154.92800,0.1,"EMA50 bullish crossover, ADX 25.0 trending, MACD rising, RSI 48.9",raw,loss,-250.82
2026-09-22T16:21:02.644918+00:00,XAUUSDm,BUY,4154.89900,0.1,"EMA50 bullish crossover, ADX 20.3 trending, MACD rising, RSI 50.8",raw,loss,-249.57
2026-09-22T16:21:02.646660+00:00,XAUUSDm,SELL,4124.16000,0.1,"EMA50 bearish crossover, ADX 20.9 trending, MACD falling, RSI 33.9",raw,loss,-218.47
2026-09-22T16:21:02.648773+00:00,XAUUSDm,BUY,4156.67100,0.1,"EMA50 bullish crossover, ADX 22.3 trending, MACD rising, RSI 57.7",raw,loss,-220.90
2026-09-22T16:21:02.650381+00:00,XAUUSDm,SELL,4098.14700,0.1,"EMA50 bearish crossover, ADX 21.4 trending, MACD falling, RSI 31.9",raw,loss,-248.04
2026-09-22T16:21:02.651924+00:00,XAUUSDm,SELL,4073.77300,0.1,"EMA50 bearish crossover, ADX 20.7 trending, MACD falling, RSI 37.9",raw,win,529.10
2026-09-22T16:21:02.652829+00:00,XAUUSDm,SELL,4020.93900,0.1,"EMA50 bearish crossover, ADX 44.0 trending, MACD falling, RSI 44.0",raw,loss,-226.90
2026-09-22T16:21:02.655770+00:00,XAUUSDm,SELL,4048.94700,0.1,"EMA50 bearish crossover, ADX 35.2 trending, MACD falling, RSI 51.5",raw,loss,-248.51
2026-09-22T16:21:02.657409+00:00,XAUUSDm,SELL,3992.08000,0.1,"EMA50 bearish crossover, ADX 20.4 trending, MACD falling, RSI 35.0",raw,loss,-285.89
2026-09-22T16:21:02.658934+00:00,XAUUSDm,BUY,4068.40700,0.1,"EMA50 bullish crossover, ADX 29.5 trending, MACD rising, RSI 65.0",raw,win,448.04
2026-09-22T16:21:02.659828+00:00,XAUUSDm,BUY,4148.55900,0.1,"EMA50 bullish crossover, ADX 45.1 trending, MACD rising, RSI 69.2",raw,loss,-243.79
2026-09-22T16:21:02.661373+00:00,XAUUSDm,BUY,4133.31900,0.1,"EMA50 bullish crossover, ADX 39.3 trending, MACD rising, RSI 57.1",raw,loss,-221.69
2026-09-22T16:21:02.663048+00:00,XAUUSDm,SELL,4055.91900,0.1,"EMA50 bearish crossover, ADX 40.3 trending, MACD falling, RSI 48.7",raw,loss,-180.56
2026-09-22T16:21:02.665017+00:00,XAUUSDm,SELL,4066.92200,0.1,"EMA50 bearish crossover, ADX 32.4 trending, MACD falling, RSI 53.3",raw,loss,-203.41
2026-09-22T16:21:02.666701+00:00,XAUUSDm,BUY,4089.70500,0.1,"EMA50 bullish crossover, ADX 26.9 trending, MACD rising, RSI 62.9",raw,loss,-216.66
2026-09-22T16:21:02.668226+00:00,XAUUSDm,BUY,4082.45700,0.1,"EMA50 bullish crossover, ADX 24.3 trending, MACD rising, RSI 50.6",raw,loss,-206.32
2026-09-22T16:21:02.669866+00:00,XAUUSDm,SELL,4026.43900,0.1,"EMA50 bearish crossover, ADX 24.6 trending, MACD falling, RSI 30.1",raw,loss,-190.19
2026-09-22T16:21:02.671525+00:00,XAUUSDm,SELL,4027.81900,0.1,"EMA50 bearish crossover, ADX 26.5 trending, MACD falling, RSI 39.1",raw,loss,-212.96
2026-09-22T16:21:02.673235+00:00,XAUUSDm,BUY,4068.18700,0.1,"EMA50 bullish crossover, ADX 26.5 trending, MACD rising, RSI 56.8",raw,loss,-340.83
2026-09-22T16:21:02.674812+00:00,XAUUSDm,SELL,4033.75300,0.1,"EMA50 bearish crossover, ADX 28.1 trending, MACD falling, RSI 45.8",raw,loss,-332.02
2026-09-22T16:21:02.676072+00:00,XAUUSDm,BUY,4061.60700,0.1,"EMA50 bullish crossover, ADX 25.3 trending, MACD rising, RSI 53.6",raw,loss,-331.13
2026-09-22T16:21:02.677714+00:00,XAUUSDm,BUY,4063.87800,0.1,"EMA50 bullish crossover, ADX 20.6 trending, MACD rising, RSI 51.6",raw,loss,-242.56
2026-09-22T16:21:02.678953+00:00,XAUUSDm,SELL,4036.16100,0.1,"EMA50 bearish crossover, ADX 20.2 trending, MACD falling, RSI 40.0",raw,loss,-237.64
2026-09-22T16:21:02.680349+00:00,XAUUSDm,BUY,4082.43000,0.1,"EMA50 bullish crossover, ADX 21.9 trending, MACD rising, RSI 58.3",raw,win,423.89
